lng,lat,id,rt,rin,date,location,rucr,desc
-63.633410087857129,44.656048185699746,1,GO,844779,2017-03-20T04:00:00.000Z,FREDERICK AVE,2142,THEFT FROM VEHICLE
-63.595450618761667,44.68057350038049,2,GO,844681,2017-03-20T04:00:00.000Z,WINDMILL RD,2135,THEFT OF VEHICLE
-63.592105869974048,44.651700777142715,3,GO,844922,2017-03-20T04:00:00.000Z,WEST ST,2142,THEFT FROM VEHICLE
-63.561701640360766,44.673515079970436,4,GO,844736,2017-03-20T04:00:00.000Z,PRINCE ALBERT RD,1430,ASSAULT
-63.601534279914787,44.6551256318998,5,GO,844955,2017-03-20T04:00:00.000Z,ALMON ST,2142,THEFT FROM VEHICLE
-63.591007328021291,44.657356997870714,6,GO,844849,2017-03-21T04:00:00.000Z,NORTH ST / GOTTINGEN ST,1460,ASSAULT
-63.916937102090948,44.68393443312933,7,GO,845358,2017-03-21T04:00:00.000Z,ST MARGARETS BAY RD,2135,THEFT OF VEHICLE
-63.545968202217097,44.653879977226644,8,GO,845005,2017-03-21T04:00:00.000Z,PLEASANT ST,1430,ASSAULT
-63.616714659927332,44.813760062860084,9,GO,845024,2017-03-21T04:00:00.000Z,FALL RIVER RD,2142,THEFT FROM VEHICLE
-63.668177800300128,44.649650503957929,10,GO,845027,2017-03-21T04:00:00.000Z,CHAIN LAKE DR,2132,THEFT FROM VEHICLE
-63.653265305991809,44.651122649501644,11,GO,845025,2017-03-21T04:00:00.000Z,MAIN AVE,2142,THEFT FROM VEHICLE
-63.616031197708004,44.668102796047485,12,GO,845043,2017-03-21T04:00:00.000Z,HIGH ST,2142,THEFT FROM VEHICLE
-63.545387105943355,44.696360109001837,13,GO,845031,2017-03-21T04:00:00.000Z,MICMAC DR,2142,THEFT FROM VEHICLE
-63.279815747737018,44.743471265603631,14,GO,844949,2017-03-21T04:00:00.000Z,HIGHWAY 7,1430,ASSAULT
-63.584662796521101,44.670971672439833,15,GO,844964,2017-03-21T04:00:00.000Z,WINDMILL RD,1420,ASSAULT
-63.658734400852914,44.735861304194721,16,GO,845135,2017-03-21T04:00:00.000Z,UNION ST,2142,THEFT FROM VEHICLE
-63.658734400852914,44.735861304194721,17,GO,845035,2017-03-21T04:00:00.000Z,UNION ST,2142,THEFT FROM VEHICLE
-63.519409147563067,44.683637569979624,18,GO,845153,2017-03-21T04:00:00.000Z,ELWIN CRES,2142,THEFT FROM VEHICLE
-63.694306837980825,44.767469848652979,19,GO,845440,2017-03-21T04:00:00.000Z,OLD SACKVILLE RD,2142,THEFT FROM VEHICLE
-62.80746303621131,45.043321421987905,20,GO,844945,2017-03-21T04:00:00.000Z,HIGHWAY 224,2120,BREAK AND ENTER
-63.230569604462261,44.755042203164216,21,GO,844872,2017-03-21T04:00:00.000Z,PEARSON DR,1430,ASSAULT
-63.574083164293818,44.645548858577953,22,GO,844846,2017-03-21T04:00:00.000Z,ARGYLE ST,1430,ASSAULT
-63.58587663342373,44.719695708176857,23,GO,844979,2017-03-21T04:00:00.000Z,GLORIA MCCLUSKEY AVE,1430,ASSAULT
-63.584765906520751,44.655440097978655,24,GO,845107,2017-03-22T04:00:00.000Z,LONGARD PLZ,1430,ASSAULT
-63.382538086696933,44.744390100476068,25,GO,845140,2017-03-22T04:00:00.000Z,SNEEZY AVE,1430,ASSAULT
-63.665369994558702,44.683051577733139,26,GO,845141,2017-03-22T04:00:00.000Z,GROSVENOR RD,1430,ASSAULT
-63.690053706584216,44.783167492532719,27,GO,845138,2017-03-22T04:00:00.000Z,SMOKEY DR,2135,THEFT OF VEHICLE
-63.571340025446673,44.628230881873058,28,GO,845046,2017-03-22T04:00:00.000Z,OGILVIE ST,2135,THEFT OF VEHICLE
-63.635046618774908,44.661601904461456,29,GO,845161,2017-03-22T04:00:00.000Z,VIMY AVE,1430,ASSAULT
-63.660520142436972,44.681177085784462,30,GO,845218,2017-03-22T04:00:00.000Z,BEDFORD HWY,2135,THEFT OF VEHICLE
-63.616922393224279,44.665973353740817,31,GO,845339,2017-03-22T04:00:00.000Z,LEEDS ST,2142,THEFT FROM VEHICLE
-63.536945656319034,44.664841694371297,32,GO,845036,2017-03-22T04:00:00.000Z,GASTON RD,2142,THEFT FROM VEHICLE
-63.455576352993326,44.715212518483071,33,GO,845108,2017-03-22T04:00:00.000Z,GLASGOW RD / CRANEHILL RD,1610,ROBBERY
-63.653513074269419,44.667261298239431,34,GO,845048,2017-03-22T04:00:00.000Z,CHESSVALE CL,2132,THEFT FROM VEHICLE
-63.480219270668087,44.672592986443014,35,GO,845199,2017-03-22T04:00:00.000Z,COLE HARBOUR RD,2132,THEFT FROM VEHICLE
-63.583875275649554,44.688956973902251,36,GO,845183,2017-03-22T04:00:00.000Z,HIGHFIELD PARK DR,1430,ASSAULT
-63.583875275649554,44.688956973902251,37,GO,845188,2017-03-22T04:00:00.000Z,HIGHFIELD PARK DR,1430,ASSAULT
-63.584166470720334,44.65629841595306,38,GO,845051,2017-03-22T04:00:00.000Z,BRUNSWICK ST,2120,BREAK AND ENTER
-62.542651536665602,44.926908953530905,39,GO,845095,2017-03-22T04:00:00.000Z,HIGHWAY 7,2120,BREAK AND ENTER
-63.644035101196877,44.653563641959693,40,GO,845289,2017-03-22T04:00:00.000Z,ADELAIDE AVE,2142,THEFT FROM VEHICLE
-63.617037500978888,44.666829654024603,41,GO,845151,2017-03-22T04:00:00.000Z,BASINVIEW DR,2142,THEFT FROM VEHICLE
-63.543856230373535,44.681061828469197,42,GO,845186,2017-03-22T04:00:00.000Z,MAIN ST,1610,ROBBERY
-63.668016788843971,44.726780245425878,43,GO,845118,2017-03-22T04:00:00.000Z,BEDFORD ST,2135,THEFT OF VEHICLE
-63.623791096006187,44.823778613757241,44,GO,845157,2017-03-22T04:00:00.000Z,LOCKVIEW RD,1430,ASSAULT
-63.646041885118208,44.658326157680271,45,GO,845240,2017-03-23T04:00:00.000Z,HILLWOOD CRES,2142,THEFT FROM VEHICLE
-63.648226253115354,44.655627427179368,46,GO,845258,2017-03-23T04:00:00.000Z,WILLETT ST,2142,THEFT FROM VEHICLE
-63.570621718398733,44.670940776523473,47,GO,845357,2017-03-23T04:00:00.000Z,VICTORIA RD,1430,ASSAULT
-63.740587601998769,44.65733484939409,48,GO,845351,2017-03-23T04:00:00.000Z,JAMES ST,1430,ASSAULT
-63.592949919513124,44.675365871789161,49,GO,845226,2017-03-23T04:00:00.000Z,INDIA ST,1430,ASSAULT
-63.680045060708487,44.712244130283679,50,GO,845479,2017-03-23T04:00:00.000Z,AZITA CRT,2142,THEFT FROM VEHICLE
